Time,Stress_Val,Daylight,total_keystrokes,backspace_count,hold_time_mean,hold_time_std,flight_time_mean,flight_time_std,total_inact_duration,backspace_ratio,Daylight_Encoded,Stress_Label
2021-09-13 15:40:22.866732,S_Stressed,Afternoon,283.0,48.0,278.79582332155474,446.0777562229378,1186.6896183745584,1614.894797059391,4624.947402,0.16961130142716252,1,1
2021-09-13 16:10:34.592835,V_Stressed,Evening,335.0,36.0,253.43731940298505,369.56324879877207,1260.2375402985074,1614.9087425136008,2083.549472,0.1074626833593229,2,1
2021-09-13 16:40:44.808818,S_Stressed,Evening,290.0,31.0,348.9779068965517,456.05590911702416,1373.546551724138,1646.47431909067,2532.197528,0.10689654803805007,2,1
2021-09-14 09:04:27.482654,S_Stressed,Morning,137.0,12.0,282.8635620437956,325.4696680916957,1367.1229343065693,1719.96614477274,1859.320625,0.08759123448239164,0,1
2021-09-14 09:34:40.128357,S_Stressed,Morning,100.0,1.0,330.57972,458.4530621866372,1757.3635800000002,1971.0228747597898,2038.249473,0.0099999990000001,0,1
2021-09-14 10:54:19.296131,Neutral,Morning,176.0,2.0,219.4175965909091,286.1601721750587,1347.2502386363637,1701.3001292947563,8038.171567,0.011363635717975244,0,0
2021-09-14 11:25:07.298975,F_Good,Afternoon,372.0,66.0,358.62073118279574,512.969577516355,1232.1011639784945,1620.289523561097,2561.294305,0.17741935006937232,1,0
2021-09-14 11:55:43.522521,F_Good,Afternoon,208.0,28.0,325.69470192307693,384.11988836668974,1519.0577307692308,1817.1843081347904,2089.864743,0.13461537814349142,1,0
2021-09-14 12:26:15.878257,S_Stressed,Afternoon,311.0,6.0,318.7012893890675,421.7352874906706,1333.5123633440514,1741.4446290473263,2389.79842,0.01929260388126676,1,1
2021-09-14 12:56:32.982335,F_Good,Afternoon,464.0,72.0,208.0507198275862,356.8638221105633,1083.2871616379311,1558.741905135829,2432.66895,0.15517241044887048,1,0
2021-09-14 13:26:50.738821,S_Stressed,Afternoon,556.0,75.0,216.14091366906476,347.20958322631924,1091.6055071942446,1518.494580371479,2203.604868,0.13489208390481863,1,1
2021-09-14 15:18:18.074850,S_Stressed,Afternoon,633.0,75.0,247.99801421800947,382.3945863366703,1338.6864549763031,1654.841261882017,9519.50101,0.11848341045049905,1,1
2021-09-14 15:48:47.178993,S_Stressed,Afternoon,645.0,88.0,232.7312589147287,337.9561324690632,1282.581865116279,1633.991315134487,1838.07899,0.1364341064118743,1,1
